Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1d_0/456	1.287834	0.001583	0.000106	0.169570	0.139021	0.981509	96980.582524	95941.974378	40517.235352	99558.062130
search_run/l1d_1/456	1.285452	0.001212	0.000106	0.226950	0.188463	0.981509	97154.138725	96042.577242	44969.934001	99656.804734
search_run/l1d_2/456	1.285678	0.001298	0.000106	0.211063	0.174646	0.981509	97079.171254	95955.162020	43711.090131	99571.005917
search_run/l1d_3/456	1.274416	0.000819	0.000086	0.172759	0.136950	0.970535	98105.045329	96540.892193	40558.905101	99317.498497
search_run/l1d_4/456	1.273157	0.000632	0.000086	0.229159	0.184362	0.970535	98027.394561	96660.470880	44797.849395	99433.553818
search_run/l1d_5/456	1.273277	0.000679	0.000086	0.212176	0.169938	0.970535	98327.355144	96651.796778	43595.578825	99425.135298
search_run/l1d_6/456	1.267493	0.000434	0.000065	0.174003	0.132000	0.946529	105610.123648	103258.671952	41437.224319	103976.547842
search_run/l1d_7/456	1.266828	0.000336	0.000065	0.229870	0.177479	0.946529	105675.425039	103258.671952	45990.114740	103976.547842
search_run/l1d_8/456	1.266874	0.000360	0.000065	0.213434	0.163932	0.946529	105700.154560	103258.671952	44649.357778	103976.547842
search_run/l1d_9/456	1.293540	0.003403	0.000111	0.077139	0.062014	0.938163	97406.565909	95885.122411	32803.842935	96257.243816
search_run/l1d_10/456	1.293641	0.003471	0.000111	0.075577	0.060742	0.938141	97325.492944	95875.659382	32667.868946	96246.730293
search_run/l1d_11/456	1.293774	0.003603	0.000111	0.072667	0.058364	0.938141	97273.346011	95798.794273	32415.047012	96174.973489
search_run/l1d_12/456	1.276869	0.001747	0.000093	0.079213	0.061435	0.889134	98094.205755	96785.980149	32832.918608	93389.961390
search_run/l1d_13/456	1.276877	0.001780	0.000093	0.077733	0.060262	0.889134	98052.818289	96777.295285	32704.311522	93382.239382
search_run/l1d_14/456	1.276900	0.001844	0.000093	0.074879	0.058003	0.889134	98174.812771	96979.528536	32486.685455	93562.051848
search_run/l1d_15/456	1.268963	0.000909	0.000083	0.081274	0.060315	0.741557	106200.154560	103372.277228	33480.599609	87319.383260
search_run/l1d_16/456	1.268966	0.000929	0.000083	0.079509	0.058966	0.741012	106406.105100	103321.782178	33349.875614	87236.243580
search_run/l1d_17/456	1.268980	0.000959	0.000083	0.076890	0.056966	0.741012	106037.480680	103385.148515	33079.679552	87283.198826
search_run/l1d_18/456	1.296892	0.004345	0.000180	0.059372	0.047937	0.576606	97534.727782	96040.647347	31321.701473	69275.824653
search_run/l1d_19/456	1.296835	0.004347	0.000180	0.059327	0.047901	0.576606	97250.900721	96006.398193	31310.040369	69256.076389
search_run/l1d_20/456	1.296847	0.004348	0.000180	0.059313	0.047889	0.576606	97809.347478	95979.676327	31347.385090	69240.668403
search_run/l1d_21/456	1.278515	0.002214	0.000217	0.060664	0.047853	0.383191	98735.514387	96877.323420	31438.793096	55111.348528
search_run/l1d_22/456	1.278465	0.002214	0.000217	0.060652	0.047843	0.383009	98658.060702	96864.312268	31431.455898	55092.311343
search_run/l1d_23/456	1.278448	0.002214	0.000217	0.060631	0.047826	0.383009	98578.439101	96903.965304	31421.327048	55108.210726
