Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1i_0/456	1.285678	0.001298	0.000106	0.211063	0.174646	0.981509	97079.171254	95955.162020	43711.090131	99571.005917
search_run/l1i_1/456	1.285678	0.001298	0.000105	0.211129	0.174643	0.987356	97094.885397	96048.964218	43713.356884	100101.896616
search_run/l1i_2/456	1.285678	0.001297	0.000104	0.211268	0.174643	0.999248	97266.539886	95878.434324	43743.360541	100823.993983
search_run/l1i_3/456	1.273277	0.000679	0.000086	0.212176	0.169938	0.970535	98327.355144	96651.796778	43595.578825	99425.135298
search_run/l1i_4/456	1.273265	0.000679	0.000085	0.212205	0.169938	0.975212	98066.614111	96655.920645	43534.960154	99782.950423
search_run/l1i_5/456	1.273264	0.000679	0.000083	0.212466	0.169938	0.996296	98100.709499	96766.418835	43549.489544	101488.271605
search_run/l1i_6/456	1.266874	0.000360	0.000065	0.213434	0.163932	0.946529	105700.154560	103258.671952	44649.357778	103976.547842
search_run/l1i_7/456	1.266874	0.000360	0.000064	0.213561	0.163932	0.955492	105961.360124	102735.381566	44687.050557	104194.128788
search_run/l1i_8/456	1.266874	0.000360	0.000062	0.213980	0.163932	0.986315	105801.004637	104063.429138	44699.895702	107975.562072
search_run/l1i_9/456	1.293774	0.003603	0.000111	0.072667	0.058364	0.938141	97273.346011	95798.794273	32415.047012	96174.973489
search_run/l1i_10/456	1.293743	0.003603	0.000107	0.072707	0.058364	0.966509	97102.592333	96085.499058	32392.694239	98575.536949
search_run/l1i_11/456	1.293743	0.003603	0.000106	0.072724	0.058364	0.976471	97171.454309	96163.780120	32399.873755	99398.897059
search_run/l1i_12/456	1.276900	0.001844	0.000093	0.074879	0.058003	0.889134	98174.812771	96979.528536	32486.685455	93562.051848
search_run/l1i_13/456	1.276882	0.001844	0.000089	0.074961	0.058003	0.933449	98190.776508	97176.069436	32466.108688	97110.532407
search_run/l1i_14/456	1.276868	0.001844	0.000087	0.074994	0.058003	0.955003	98202.404415	96375.697458	32479.932268	97988.158674
search_run/l1i_15/456	1.268980	0.000959	0.000083	0.076890	0.056966	0.741012	106037.480680	103385.148515	33079.679552	87283.198826
search_run/l1i_16/456	1.268952	0.000959	0.000080	0.076933	0.056966	0.762085	105380.602782	102876.114965	33024.979921	88583.081571
search_run/l1i_17/456	1.268929	0.000959	0.000067	0.077320	0.056966	0.915684	106149.536321	102658.415842	33100.251246	100986.400725
search_run/l1i_18/456	1.296847	0.004348	0.000180	0.059313	0.047889	0.576606	97809.347478	95979.676327	31347.385090	69240.668403
search_run/l1i_19/456	1.296603	0.004348	0.000115	0.059797	0.047898	0.902273	97168.701221	95751.034223	31310.809089	93448.591788
search_run/l1i_20/456	1.296602	0.004348	0.000112	0.059815	0.047898	0.927425	97287.872724	95832.204665	31318.777869	95412.421493
search_run/l1i_21/456	1.278448	0.002214	0.000217	0.060631	0.047826	0.383009	98578.439101	96903.965304	31421.327048	55108.210726
search_run/l1i_22/456	1.278165	0.002214	0.000102	0.061913	0.047845	0.816481	98290.386131	96961.609907	31390.113471	88026.289181
search_run/l1i_23/456	1.278165	0.002214	0.000095	0.061984	0.047826	0.871698	98567.599527	97211.502783	31405.936970	92437.735849
