Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l2_0/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l2_1/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l2_2/470	3.644766	0.123459	0.000069	0.999999	0.999999	0.998971	97249.545330	96428.424305	97144.271607	101353.909465
search_run/l2_3/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l2_4/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l2_5/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l2_6/470	1.865872	0.030867	0.000087	0.999997	0.999999	0.997642	104890.985419	104439.716312	106281.816108	109247.641509
search_run/l2_7/470	1.865872	0.030867	0.000087	0.999997	0.999999	0.997642	104890.985419	104439.716312	106281.816108	109247.641509
search_run/l2_8/470	1.865872	0.030867	0.000087	0.999997	0.999999	0.997642	104890.985419	104439.716312	106281.816108	109247.641509
search_run/l2_9/470	3.645466	0.123459	0.000069	0.999999	0.999999	0.998971	97275.757977	96428.424305	97170.485396	101353.909465
search_run/l2_10/470	3.645466	0.123459	0.000069	0.999999	0.999999	0.998971	97275.757977	96428.424305	97170.485396	101353.909465
search_run/l2_11/470	3.645466	0.123459	0.000069	0.999999	0.999999	0.998971	97275.757977	96428.424305	97170.485396	101353.909465
search_run/l2_12/470	2.471074	0.061731	0.000083	0.999999	0.999999	0.998418	101713.318112	97055.467512	102105.975285	101939.873418
search_run/l2_13/470	2.471074	0.061731	0.000083	0.999999	0.999999	0.998418	101713.318112	97055.467512	102105.975285	101939.873418
search_run/l2_14/470	2.471074	0.061731	0.000083	0.999999	0.999999	0.998418	101713.318112	97055.467512	102105.975285	101939.873418
search_run/l2_15/470	1.865961	0.030867	0.000087	0.999997	0.999999	0.997642	104904.308160	104427.895981	106295.139915	109247.641509
search_run/l2_16/470	1.865961	0.030867	0.000087	0.999997	0.999999	0.997642	104904.308160	104427.895981	106295.139915	109247.641509
search_run/l2_17/470	1.865961	0.030867	0.000087	0.999997	0.999999	0.997642	104904.308160	104427.895981	106295.139915	109247.641509
search_run/l2_18/470	3.645801	0.123459	0.000069	0.999999	0.999999	0.997945	97288.267300	96419.155510	97182.995265	101267.214800
search_run/l2_19/470	3.645801	0.123459	0.000069	0.999999	0.999999	0.997945	97288.267300	96419.155510	97182.995265	101267.214800
search_run/l2_20/470	3.645813	0.123459	0.000069	0.999999	0.999999	0.997945	97288.736746	96419.155510	97183.464731	101267.214800
search_run/l2_21/470	2.471721	0.061731	0.000085	0.999992	0.999999	0.984399	101761.603638	97058.637084	102154.264448	100876.755070
search_run/l2_22/470	2.471721	0.061731	0.000085	0.999992	0.999999	0.984399	101761.603638	97058.637084	102154.264448	100876.755070
search_run/l2_23/470	2.471721	0.061731	0.000085	0.999992	0.999999	0.984399	101761.603638	97058.637084	102154.264448	100876.755070
